elementId,quantity
6371584,4
6093525,2
6321194,2
6020193,2
300526,4
362226,2
301026,2
300926,2
6184784,2
6138173,2
287726,4
393726,1
393826,1
459376,3
302326,7
371026,4
366626,3
428226,2
302126,2
302026,2
379526,1
303426,2
303026,1
4243819,3
303226,3
4598528,2
379426,1
6199908,1
281726,1
6192346,3
4548180,1
6088585,2
75619,2
655826,2
307026,1
306926,1
306826,1
6284070,1
4550937,4
4211056,2
4211094,2
4211002,2
6039176,2
6351293,2
6319333,4
4211389,3
4211388,3
6285778,4
4249188,2
4211469,4
4211470,4
4211500,3
4211399,5
4211398,3
4211445,1
4211438,2
30663194,1
4211483,2
6329584,1
4211415,4
4211414,2
4558169,4
4211356,2
4211549,1
4211481,4
6065824,6
4211413,10
6171894,3
4560183,1
6381253,2
6227958,2
4528730,1
6051422,4
243121,2
6278710,2
6581359,2
6513962,6
6254254,10
6274738,2
6253681,2
6254252,4
6514197,2
6252042,2
6258607,2
4121655,1
6242241,8
6117940,2
300501,8
611101,2
300401,8
362201,7
301001,5
300901,9
300801,6
6106183,6
407001,9
4558952,4
4143254,2
302401,26
447701,6
302301,5
362301,6
371001,5
6350399,8
366601,5
346001,6
302201,1
242001,6
302001,5
379501,2
303401,5
303601,3
6174937,6
6281990,2
6057414,4
4547489,1
329701,2
4163984,1
6400127,6
654101,2
306901,6
4558168,4
416201,4
6400128,4
6300359,1
6260609,4
4536521,2
