elementId,quantity
6168620,1
300526,9
6065496,1
300426,5
4618852,4
301026,2
300926,2
407026,3
4558954,2
6138173,12
4193693,2
6138479,2
6024114,1
6024113,1
393826,2
459226,2
73587,1
302426,10
447726,5
302326,17
362326,2
371026,13
6350415,2
366626,5
428226,1
302226,4
302126,1
302026,1
379526,4
302926,1
6482959,4
6069000,4
6267487,2
6507846,1
6477759,1
6053077,1
4542671,1
366526,6
459926,1
307026,2
306926,7
4558170,2
243126,2
663626,1
6523310,2
4560182,1
6029208,4
6266225,2
6146225,1
4210719,1
4211001,6
4211056,1
4211094,2
6029948,2
4211052,1
4260124,4
6078609,1
6287877,1
6218226,4
6329581,1
302302,2
371002,2
366602,2
428202,1
302002,1
9556,1
4619596,2
6191668,1
6051422,2
6533804,4
6533805,24
6516868,8
6184782,2
4610843,2
4567445,4
389921,2
306921,1
6310198,2
6258973,2
6092659,2
4221744,4
4211150,4
4211190,2
4211214,1
4211247,2
4217848,1
6257604,2
6069984,5
4211288,1
4211151,2
6100769,1
4211204,2
4585337,1
4516055,1
4125253,1
4114026,1
6223655,1
6245250,2
6254638,1
6510175,1
6254252,2
6254248,2
6285777,2
4558956,2
4567449,4
4659665,2
6416588,1
393701,2
73737,2
302301,3
302201,1
4504369,2
6034044,5
6329575,1
306901,1
6172674,2
6250591,2
241201,1
389924,1
