Part,Color,Quantity,Is Spare
53451,0,1,False
48729b,0,1,False
78258,0,1,False
87994,0,2,False
30374,0,2,False
23443,0,1,False
2566,0,1,False
3622,0,7,False
3010,0,4,False
3062b,0,42,False
48092,0,1,False
11211,0,2,False
28327,0,1,False
15207,0,1,False
3024,0,4,False
3023,0,1,False
3623,0,6,False
3710,0,13,False
3020,0,1,False
3795,0,1,False
32828,0,1,False
85861,0,3,False
4032a,0,3,False
60897,0,7,False
49668,0,1,False
15573,0,24,False
87580,0,13,False
4488,0,16,False
30586,0,2,False
85984,0,2,False
3039,0,1,False
24201,0,4,False
3940b,0,1,False
65487,0,2,False
61332,0,2,False
3070b,0,1,False
3069b,0,2,False
20482,0,1,False
14769pr1252,0,1,False
15712,0,4,False
64567,0,1,False
30044,0,4,False
57894,0,3,False
73878,0,2,False
3062b,1,1,False
4081b,1,1,False
43093,1,1,False
67040pr0001,10,1,False
24866,10,9,False
32607,10,2,False
30093,10,1,False
98138pr0351,10,2,False
3010,212,1,False
970c29,212,1,False
32607,212,1,False
3023,212,2,False
3666,212,1,False
3021,212,3,False
3795,212,1,False
33121,191,1,False
49595a,191,1,False
32606,191,1,False
24866,191,1,False
32607,191,1,False
69729pr0018,191,1,False
24866,226,1,False
11211,29,1,False
24866,29,1,False
2423,29,2,False
49577,1050,1,False
24866,1050,11,False
87087,321,4,False
3024,321,1,False
3623,321,1,False
3710,321,2,False
4282,321,2,False
3022,321,1,False
3021,321,2,False
3020,321,1,False
3029,321,1,False
4304,321,1,False
11477,321,16,False
15068,321,2,False
3068b,321,1,False
87079,321,1,False
970c05pr2479,272,1,False
3484,72,2,False
3003,72,1,False
91405,72,1,False
98138,72,6,False
24866,288,8,False
32607,288,1,False
20592pr0001,484,1,False
80497,5,1,False
32606,5,1,False
33291,5,3,False
24866,5,3,False
13564,85,1,False
6086,320,1,False
2417,320,1,False
40379,3,1,False
3659,3,4,False
3062b,3,22,False
60596,3,1,False
3031,3,1,False
80015,3,2,False
60592,3,4,False
60594,3,2,False
3005,114,1,False
4740,129,1,False
55236,2,18,False
24855,2,1,False
33291,2,1,False
24866,2,8,False
2423,2,1,False
32607,2,2,False
95351pr0006,2,1,False
25269pr0002,2,1,False
36806,71,1,False
3626cpr3956,71,1,False
60479,71,2,False
3710,71,4,False
3666,71,1,False
3460,71,1,False
3021,71,1,False
3020,71,3,False
3795,71,10,False
3034,71,1,False
3031,71,2,False
3032,71,3,False
3035,71,6,False
41740,71,12,False
30043,71,1,False
4274,71,1,False
3070b,71,5,False
3069b,71,3,False
63864,71,3,False
2431,71,23,False
14719,71,9,False
3068b,71,1,False
35787,71,2,False
1748,71,1,False
973c14h14pr6495,71,1,False
3062b,27,3,False
35365,27,1,False
6254,27,1,False
24866,27,11,False
15279,27,5,False
2423,27,1,False
10884,27,1,False
32607,27,4,False
30176,27,1,False
33291,26,5,False
24866,26,3,False
2423,26,2,False
32607,26,1,False
3024,322,3,False
2445,322,2,False
15573,322,2,False
3070b,322,1,False
3069b,322,5,False
63864,322,7,False
2431,322,3,False
14719,322,3,False
3068b,322,9,False
26603,322,9,False
87079,322,12,False
50745,322,2,False
60593,322,10,False
24076pr0001,73,1,False
90397pr0004,73,1,False
39262,30,1,False
