elementId,quantity
6270103,8
300826,14
6252201,4
302426,8
302326,2
346026,3
614126,16
6092585,4
307026,8
416226,1
6335388,12
4527766,56
4526931,56
4180536,20
4180508,20
6097276,1
6403266,8
4211098,4
4211088,2
4211104,4
4211100,9
4211099,1
6000311,9
6055310,15
4210719,12
4211063,2
4210998,8
4210635,2
4210633,8
4504378,3
6076203,1
4211135,1
4211052,20
4568734,4
4211053,4
4210651,2
4211055,64
6013102,9
4586057,4
6174940,2
4528604,7
4626904,4
6015424,3
6156492,2
6047415,6
4550168,1
302428,9
302328,2
4107758,2
371028,3
302228,10
4157120,4
302128,4
302028,5
4654580,16
4211388,8
4211428,4
4211394,4
4211393,4
4211349,4
6246844,2
6225228,8
4211398,20
4211445,4
4211438,8
4211425,4
4211397,12
4211353,4
4211396,20
4211395,12
4211452,4
4293831,2
4211414,36
4558169,8
4220634,8
4164022,20
4234716,4
4220632,8
6518173,4
6548899,4
4621557,4
6381913,4
4164037,8
4210210,8
4529160,4
4537936,8
4621548,4
6132372,8
4537251,4
4500125,8
4164021,4
6167465,6
6427531,4
6102821,4
4651898,4
300821,4
371021,12
366621,4
346021,2
379521,4
4533742,8
4166138,8
4234365,4
6514052,8
6514007,9
6245277,8
6514261,22
6514224,129
362301,4
346001,2
4179875,12
4179874,12
362224,4
